acceptable,2
alluring,1.4
angel,3.5
beauty,3.8
bless,2.7
bonus,2
bonuses,2
careful,-0.5
certain,2
cheap,-3.5
cheater,-2
cheers,2.8
confession,2.3
contrary,-2.3
crapola,-2.8
damage,-1.6
dangerous,-2
dashing,2
defacing,-1.7
dumb,-1.2
ego,-1
exciting,3.5
excuse,-1
fighting,-2.5
genius,3
gift,1.8
gifted,2.5
glee,2
grudge,-1.3
ha,0.6
happy,3.6
heaven,1.3
heavens,2.7
hell,-1.3
honest,2
horrible,-3.1
hugged,3
ill,-1.5
impossible,-2.2
jolly,2.3
junk,-2
kill,-2.2
kind,2.8
kiss,2.6
laugh,3.5
laughing,4
loser,-2.3
lost,-1.2
love,4
loved,3
luck,2.4
magic,3.5
medley,3
melody,2.5
merry,3
mer-ry,3
mess,-1.1
miracles,4
missing,-1.5
nuts,-0.8
ooo,-2
pardon,2
pathetic,-3.5
patty,0.7
please,2
pretty,2.3
quit,-2.5
relax,1.6
ruin,-2.7
ruined,-3
sad,-2
sadness,-3.5
santas,3
satisfaction,3
shot,-3.5
shouted,-2.6
show-off,-1.1
smell,-1.2
smelling,-2.5
smells,-3
sorry,1.5
stup-id,-1.5
success,2.9
successful,2.5
sucker,-2
superego,-2
sure,0.7
sweet,2.2
terribly,-3
thank,3
touched,3.8
unfair,-1.7
vandalizing,-3
welcome,2.5
wonderful,3
wow,2.8
yaaaaahhh,1.2
